OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
sockets,master,247131377,19262488983,32960742,144931,137426,307843,155,106
sockets,close,165284995,18833676927,31647687,95227,88319,138511,3752,1471
sockets,spread,159550882,18333586427,29716777,96843,92951,136319,3535,1179
cores,master,2586675118,18814341403,32790707,157153,152378,152452,313,57
cores,close,141248419,17720568089,32579987,90309,76097,130926,14640,2116
cores,spread,139659601,19301375846,34910240,95425,71150,108691,16276,2569
threads,master,4458206973,16821081015,32757928,172489,168847,200668,13,66
threads,close,86971376,7078786252,20289912,75741,82954,105899,9421,1248
threads,spread,105567240,10917352076,36647025,109224,84028,85838,8664,1646
x,x,452727684,1482011806,32843078,162785,160699,311917,380,0
sockets,master,167258089,13142816024,32360488,122676,130061,321926,115,273
sockets,close,175858657,18516740896,34112814,99066,86081,105390,3922,1364
sockets,spread,165744047,18975493129,32735134,93871,89953,196265,3970,1488
cores,master,2470602514,18676064186,32654915,153822,152364,157928,17,74
cores,close,140556367,18067235491,32799948,97845,76617,109477,15369,2328
cores,spread,138364474,18342908124,34297451,91404,71650,107609,15225,2760
threads,master,4479843231,16856158957,32903119,171557,166771,196995,329,93
threads,close,82170639,7654680044,49021403,111067,71692,54390,11207,3133
threads,spread,82187630,6697625578,38611308,111666,94036,44479,4422,1231
x,x,463588025,1522317417,32264052,142744,138800,288207,3,0
sockets,master,239122220,18380730865,32829191,148484,143584,285082,149,181
sockets,close,160836115,19113897115,32438318,95551,85115,165627,3100,1294
sockets,spread,160576228,18857357469,29626780,96694,83868,121391,4688,1337
cores,master,2551368953,18755795159,32525466,149020,150150,165941,966,81
cores,close,140983433,17851837054,31255452,86683,72258,173358,18627,2602
cores,spread,138527399,17549421945,30303173,80300,64975,138974,16934,2541
threads,master,4338239220,16422967194,32526885,169890,166805,202069,10,118
threads,close,97139422,8424416474,25937812,90230,72520,286885,9866,1719
threads,spread,72250963,6633626548,31290838,79400,60606,374951,12277,2273
x,x,468914790,1518227787,33479795,153825,152024,304839,936,0
sockets,master,240123662,19525443945,34303975,148635,136297,239385,162,211
sockets,close,157352270,18856996253,32549696,96399,87391,115168,4400,1286
sockets,spread,157396698,19042395341,34925592,102253,92014,122829,3903,1502
cores,master,2233008635,16901954120,32793723,139422,135906,171067,371,84
cores,close,139811438,17785520826,31191340,95849,84176,134797,14482,2271
cores,spread,138402734,17454883622,31285742,80632,69358,172227,17400,2474
threads,master,4309968606,16310794343,33128239,173915,168872,202201,3,74
threads,close,72342744,5918701695,35305186,111482,86574,96691,6074,1247
threads,spread,74726442,7124570474,28711430,81735,70980,247789,9599,1739
x,x,460338715,1507195422,33051186,156695,153590,323578,0,0
sockets,master,239591817,19303555136,34593724,150071,140334,308690,233,269
sockets,close,170543071,18894817482,32166439,98436,93005,195770,3973,1550
sockets,spread,162474933,18500831893,35536721,106242,93652,114043,4773,1394
cores,master,2429351369,18007544153,32565908,152690,147119,165009,27,72
cores,close,138924785,18034861096,31819384,94612,81278,118945,13245,2284
cores,spread,139773992,17747631109,33573447,100355,76382,161848,15331,2501
threads,master,4417233452,16720100013,32731349,172744,169054,207875,7,50
