OMP_PLACES,OMP_PROC_BIND,nanoseconds,cycles,L1-dcache-loads-misses,LLC-load-misses,node-loads,node-stores,node-loads-misses,node-stores-misses
threads,master,5430375917,20132695063,135824181,281225,283723,236632,27,75
threads,close,151802755,15581751018,127807837,1344676,1360791,1456222,87609,4530
threads,spread,133352862,14456150481,150436929,1476016,1342122,1650511,85748,4681
x,x,1441859828,4825406642,145673395,1339327,1257574,841694,3,0
sockets,master,316585897,25345556172,142225994,1564590,1537344,1143552,1592,316
sockets,close,203646725,23411874261,155538330,1785878,1590507,703208,12518,1525
sockets,spread,212965607,24238150097,143471427,1723390,1703295,949751,12204,1564
cores,master,3278023055,24246910263,143159367,707835,703622,230568,40,23
cores,close,193939575,24570783220,148888956,1666023,1503764,1099713,71431,4844
cores,spread,197651919,24692128906,148202468,1746496,1572723,1033877,70697,4738
threads,master,5377267155,19950548821,140035284,286290,281609,199231,110,91
threads,close,145033741,13682585203,157216881,1929445,1660420,635455,54551,3469
threads,spread,150399837,14118224410,151286165,1947830,1715950,813573,51577,3426
x,x,1418734754,4839580089,139177168,1113196,1107187,650715,3,0
sockets,master,218666890,18085029922,147111710,1753880,1717861,1108568,1392,337
sockets,close,207639773,24113720165,146853355,1424519,1346620,1235541,14690,1418
sockets,spread,197217548,24221117798,157052508,1650789,1482061,923222,14061,1640
cores,master,3258041605,24296423110,144265216,713167,702374,219142,20,59
cores,close,200881245,24054128135,145733262,1576248,1464588,1281509,73685,4975
cores,spread,205087880,24432964419,139609717,1662838,1639310,1115567,71588,4659
threads,master,5380597029,20086411577,138768830,287065,281608,227832,52,91
threads,close,138295472,12997815163,128526901,1410042,1430185,959263,77299,4517
threads,spread,154961105,13798017205,136433235,1786796,1736050,1050042,61014,3494
x,x,1437432805,4795390907,129276830,944250,1050783,489605,477,3
sockets,master,325960959,25351868957,146755657,1567738,1518425,940697,1452,255
sockets,close,217293061,25280391846,146043559,1681567,1610976,989856,12148,1673
sockets,spread,219778407,24668484845,134073069,1533283,1618834,1081765,15442,1845
cores,master,3155130950,23212417632,142895882,735322,735112,224904,327,34
cores,close,201773822,24791394401,147166167,1481848,1377839,1124062,79619,4491
cores,spread,203759182,24137587129,137711580,1554336,1488902,1144471,74718,4518
threads,master,5339032318,19778788942,136464624,290434,296940,212100,328,17
threads,close,143786805,15254475377,169172030,1591504,1312413,1573244,82321,4546
threads,spread,176135364,17329054604,131893215,1552754,1581732,1329057,73729,4096
x,x,1436285923,4840756303,151811690,1319085,1111355,827752,10,3
sockets,master,321959685,25227404810,144090139,1391656,1371510,845062,1534,247
sockets,close,207727558,24505683374,140408565,1560627,1577457,1101683,15662,1958
sockets,spread,209233069,23669028038,158223726,1672308,1478868,882630,11326,1512
cores,master,3189985052,23794086698,145015148,736977,726631,222820,34,38
cores,close,200137152,24770698015,146262378,1673948,1539750,1071531,69521,4776
cores,spread,200725139,24818391402,139722759,1601352,1553293,1088576,71459,4233
threads,master,5349890210,19761755907,139884502,290362,287793,211691,27,52
threads,close,140183133,13849634614,138250049,1354309,1337905,1655292,87309,4816
threads,spread,139313381,14732428772,134433797,1449096,1457550,1366161,78771,3553
x,x,1427924449,4798167675,151344020,1292031,1096711,703194,3,0
sockets,master,324296561,24876350171,143622584,1469903,1487002,988998,1499,291
sockets,close,201589731,24445444788,141168770,1564489,1497166,901651,12753,1366
sockets,spread,221741114,24560791293,145325422,1662319,1621064,920366,15091,1864
cores,master,3293788822,23863629842,145472403,773061,756723,212835,114,42
cores,close,205656210,24580378049,151962894,1678497,1500100,951817,71957,4598
cores,spread,200954225,24388694548,145704611,1676618,1532746,1061428,69218,4276
threads,master,5359300903,20013194342,140571511,279300,275629,233782,17,78
threads,close,149111586,13967127725,121602946,1545632,1659677,1117772,74618,3487
threads,spread,168368626,16759049948,137670112,1461223,1402817,1354218,80038,5145
x,x,1425091993,4820526375,139503960,1009842,961156,605639,7,0
sockets,master,317513143,24605739300,142156152,1624050,1607540,1115460,1218,324
sockets,close,223362318,24167014442,152704727,1618289,1489390,847191,13347,1535
sockets,spread,212926651,24481772447,145581891,1613108,1535622,896352,13055,1504
cores,master,3289829751,24452044971,145297318,686085,678789,221130,42,35
cores,close,204144587,23939284990,137236514,1611031,1558640,1173966,78991,4336
cores,spread,204578533,24333474132,145026137,1505869,1388214,998591,73669,4954
threads,master,5258222305,19664620516,138512098,286897,285346,214088,116,87
threads,close,150432868,12891531593,152440283,1568329,1385150,999523,69333,4892
threads,spread,132061997,11702854574,123462246,1466139,1547368,1079477,74248,3822
